step,crossentropy,val crossentropy,accuracy,val accuracy,top_k,val top_k,f_score,val f_score
1,33.77874067991447,7.520990995878584,0.01437991382572399,0.008278803816046967,0.029005384823551618,0.0234910102739726,7.712561642146695e-06,1.2915622557553512e-06
2,6.60915689225766,5.927206110864989,0.06687630892324821,0.02573079745596869,0.1540615773174744,0.06220187133072407,0.00011751909914892167,6.803690034660002e-05
3,5.580246753422015,5.344478041045228,0.12205867837465673,0.04323630136986301,0.29290062162857466,0.08230644569471625,0.0002912292418382192,8.266087847104782e-05
4,5.21970478872497,5.168856214494741,0.16919076908926559,0.04448997064579256,0.32017181759769436,0.08360598091976516,0.0003275111063517135,8.701938016801697e-05
5,5.122608915467085,5.120846974715758,0.17137127922239134,0.0447116560665362,0.32237137149866313,0.0837970890410959,0.00033647374889396225,8.803284740706071e-05
6,5.0968749308539465,5.116269742058457,0.1718720495591483,0.04478809931506849,0.32269927279735733,0.08380473336594912,0.00033863234828943213,8.799795376536949e-05
7,5.093159410701572,5.116465716772758,0.17208314021418705,0.044757522015655575,0.3229752731620682,0.08375122309197652,0.00033995039248930147,8.820125321928711e-05
8,5.090029023398158,5.112560972292325,0.172227443605953,0.04481867661448141,0.3232170752233255,0.08385824363992173,0.0003398723115860277,8.814337546823258e-05
9,5.087225628459057,5.110498287258077,0.17232775860949037,0.04477281066536203,0.3233298625425233,0.08393468688845401,0.00033991636230159004,8.823197504615779e-05
10,5.084579922914972,5.107506134983305,0.17238891320831623,0.044918052837573386,0.32343111631921595,0.08398055283757339,0.00034167280899735083,8.88494035755234e-05
